ow,Anon Student Id,Problem Hierarchy,Problem Name,Problem View,Step Name,Step Start Time,First Transaction Time,Correct Transaction Time,Step End Time,Step Duration (sec),Correct Step Duration (sec),Error Step Duration (sec),Correct First Attempt,Incorrects,Hints,Corrects,KC(Default),Opportunity(Default),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1407,2oNLCndtam,Unit ES_05, Section ES_05-2,EG42A,1,9.92+4.11 = -4.11+13.25y+4.11,30:35.0,30:48.0,30:48.0,30:53.0,18,18,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],3,,,,,,,,,,,,,,,,,,,,,,,,,,
1408,2oNLCndtam,Unit ES_05, Section ES_05-2,EG42A,1,14.03 = 13.25y,30:53.0,30:57.0,30:57.0,30:57.0,4,4,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],35~~52,,,,,,,,,,,,,,,,,,,
1409,2oNLCndtam,Unit ES_05, Section ES_05-2,EG42A,1,14.03/13.25 = 13.25y/13.25,30:57.0,31:21.0,31:21.0,31:23.0,26,26,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1410,2oNLCndtam,Unit ES_05, Section ES_05-2,EG43,1,-5x-62 = -74,31:27.0,31:32.0,31:32.0,31:32.0,5,5,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],34~~7,,,,,,,,,,,,,,,,
1411,2oNLCndtam,Unit ES_05, Section ES_05-2,EG43,1,-5x-62+62 = -74+62,31:32.0,31:36.0,31:36.0,31:44.0,12,12,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],4,,,,,,,,,,,,,,,,,,,,,,,,,,
1412,2oNLCndtam,Unit ES_05, Section ES_05-2,EG43,1,-5x = -12,31:44.0,31:54.0,31:54.0,31:54.0,10,10,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],53~~17,,,,,,,,,,,,,,,,,,,
1413,2oNLCndtam,Unit ES_05, Section ES_05-2,EG43,1,-5x/-5 = -12/-5,31:54.0,32:07.0,32:07.0,32:10.0,16,16,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1414,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,1,#NAME?,32:16.0,32:30.0,32:36.0,32:36.0,20,,20,0,1,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],35,,,,,,,,,,,,,,,,,,
1415,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,1,761/y = -384,32:36.0,32:44.0,33:05.0,33:05.0,29,,29,0,1,3,1,[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}],1,,,,,,,,,,,,,,,,,,,,,,,,,,,
1416,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,1,761 = -384y,33:05.0,33:14.0,33:14.0,33:14.0,9,9,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],54~~18,,,,,,,,,,,,,,,,,,,
1417,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59,1,98/y+84 = 12,33:19.0,33:24.0,33:24.0,33:24.0,5,5,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],36,,,,,,,,,,,,,,,,,,
1418,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59,1,98/y = -72,33:24.0,33:30.0,33:30.0,33:30.0,6,6,,1,0,0,1,[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}],2,,,,,,,,,,,,,,,,,,,,,,,,,,,
1419,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59,1,98 = -72y,33:30.0,33:37.0,33:37.0,33:37.0,7,7,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],55~~19,,,,,,,,,,,,,,,,,,,
1420,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,2,996 = 761-221/x,33:43.0,33:48.0,33:54.0,33:54.0,11,,11,0,1,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],37,,,,,,,,,,,,,,,,,,
1421,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,2,235 = -221/x,33:54.0,33:59.0,33:59.0,33:59.0,5,5,,1,0,0,1,[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}],3,,,,,,,,,,,,,,,,,,,,,,,,,,,
1422,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,2,235x = -221,33:59.0,34:04.0,34:04.0,34:04.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],36~~56,,,,,,,,,,,,,,,,,,,
1423,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,3,#NAME?,34:07.0,34:14.0,34:20.0,34:20.0,13,,13,0,1,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],38,,,,,,,,,,,,,,,,,,
1424,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,3,#NAME?,34:20.0,34:23.0,34:23.0,34:23.0,3,3,,1,0,0,1,[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}],4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1425,2oNLCndtam,Unit ES_05, Section ES_05-3,EG59A,3,-19 = 18y,34:23.0,34:27.0,34:27.0,34:27.0,4,4,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],37~~57,,,,,,,,,,,,,,,,,,,
1426,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,1,#NAME?,34:31.0,34:39.0,34:39.0,34:39.0,8,8,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],39,,,,,,,,,,,,,,,,,,
1427,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,1,#NAME?,34:39.0,34:55.0,34:55.0,35:00.0,21,21,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],5,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,1,791 = 169/x,35:00.0,35:04.0,35:04.0,35:04.0,4,4,,1,0,0,1,[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}],5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1429,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,1,791x = 169/x*x,35:04.0,35:11.0,35:11.0,35:41.0,37,37,,1,1,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1430,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,1,791x = 169,35:41.0,35:46.0,35:46.0,35:46.0,5,5,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],38~~58,,,,,,,,,,,,,,,,,,,
1431,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,1,791x/791 = 169/791,35:46.0,35:49.0,35:49.0,36:06.0,20,20,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1432,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59,1,#NAME?,36:11.0,36:14.0,36:14.0,36:14.0,3,3,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],40,,,,,,,,,,,,,,,,,,
1433,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59,1,#NAME?,36:14.0,36:22.0,36:22.0,36:27.0,13,13,,1,0,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],6,,,,,,,,,,,,,,,,,,,,,,,,,,
1434,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59,1,#NAME?,36:27.0,36:37.0,36:37.0,36:37.0,10,10,,1,0,0,1,[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}],6,,,,,,,,,,,,,,,,,,,,,,,,,,,
1435,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59,1,-107y = -62/y*y,36:37.0,36:42.0,36:42.0,36:45.0,8,8,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1436,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59,1,-107y = -62,36:45.0,36:49.0,36:49.0,36:49.0,4,4,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],59~~20,,,,,,,,,,,,,,,,,,,
1437,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59,1,-107y/-107 = -62/-107,36:49.0,36:52.0,36:52.0,37:08.0,19,19,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1438,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,2,#NAME?,37:13.0,37:17.0,37:17.0,37:17.0,4,4,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],41,,,,,,,,,,,,,,,,,,
1439,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,2,#NAME?,37:17.0,37:34.0,37:38.0,37:42.0,25,,25,0,1,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],7,,,,,,,,,,,,,,,,,,,,,,,,,,
1440,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,2,#NAME?,37:42.0,37:45.0,37:45.0,37:45.0,3,3,,1,0,0,1,[SkillRule: Variable in denominator; {a/x=[anything]; a/x=b; a/x=b, sophisticated}],7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1441,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,2,-789y = 73/y*y,37:45.0,37:50.0,37:50.0,37:52.0,7,7,,1,0,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1442,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,2,-789y = 73,37:52.0,37:56.0,37:56.0,37:56.0,4,4,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],60~~21,,,,,,,,,,,,,,,,,,,
1443,2oNLCndtam,Unit ES_05, Section ES_05-4,EG59A,2,-789y/-789 = 73/-789,37:56.0,37:58.0,37:58.0,38:34.0,38,38,,1,2,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1444,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,1,5x-8 = -9x+10,38:38.0,38:49.0,38:49.0,38:49.0,11,11,,1,0,0,1,[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}],17
1445,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,1,14x-8 = 10,38:49.0,38:53.0,38:53.0,38:53.0,4,4,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],42~~8,,,,,,,,,,,,,,,,
1446,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,1,14x = 18,38:53.0,38:57.0,38:57.0,38:57.0,4,4,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],39~~61,,,,,,,,,,,,,,,,,,,
1447,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,2,-1-5x = -7x+7,39:00.0,39:04.0,39:04.0,39:04.0,4,4,,1,0,0,1,[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}],18
1448,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,2,-1+2x = 7,39:04.0,39:10.0,39:10.0,39:10.0,6,6,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],43~~9,,,,,,,,,,,,,,,,
1449,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,2,2x = 8,39:10.0,39:13.0,39:13.0,39:13.0,3,3,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],40~~62,,,,,,,,,,,,,,,,,,,
1450,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,3,-1-8y = 10+1y,39:16.0,39:20.0,39:20.0,39:20.0,4,4,,1,0,0,1,[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}],19
1451,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,3,-1-9y = 10,39:20.0,39:24.0,39:24.0,39:24.0,4,4,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}]~~[SkillRule: ax+b=c, negative; ax+b=c, negative],44~~10,,,,,,,,,,,,,,,,
1452,2oNLCndtam,Unit ES_05, Section ES_05-5,EG60,3,-9y = 11,39:24.0,39:28.0,39:28.0,39:28.0,4,4,,1,0,0,1,[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}]~~[SkillRule: Remove negative coefficient; {ax/b=c, reciprocal; ax/b=c; ax=b; x/a=b}],63~~22,,,,,,,,,,,,,,,,,,,
1453,2oNLCndtam,Unit ES_05, Section ES_05-6,EG60,1,-2y+1 = -6y-8,39:32.0,39:47.0,39:47.0,39:47.0,15,15,,1,0,0,1,[SkillRule: Consolidate vars, any; {Combine variables to right, sub; Combine variables to right, add; Combine variables to right, gen; Combine variables to right; Combine variables to left, add; Combine variables to left, sub; Combine variables to left, gen; ax+b=cx; ax+b=cx, move left; ax+b=cx+d, pos; ax+b=cx+d, neg; ax+b=cx+d, move right; ax+b=cx+d, move two; ax+b=cx+d, move two2; x+b=cx+d, pos; x+b=cx+d, neg; x+b=cx+d, move right; x+b=cx+d, move two; x+b=cx+d, move two2; ax+b=x+d, pos; ax+b=x+d, neg; ax+b=x+d, move right; ax+b=x+d, move two; ax+b=x+d, move two2; x+b=x+d, pos; x+b=x+d, neg; x+b=x+d, move right; x+b=x+d, move two; x+b=x+d, move two2}],20
1454,2oNLCndtam,Unit ES_05, Section ES_05-6,EG60,1,-2y+1+6y = -6y-8+6y,39:47.0,40:33.0,40:33.0,40:41.0,54,54,,1,1,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],8,,,,,,,,,,,,,,,,,,,,,,,,,,
1455,2oNLCndtam,Unit ES_05, Section ES_05-6,EG60,1,4y+1 = -8,40:41.0,40:45.0,40:45.0,40:45.0,4,4,,1,0,0,1,[SkillRule: Remove constant; {ax+b=c, positive; ax+b=c, negative; x+a=b, positive; x+a=b, negative; [var expr]+[const expr]=[const expr], positive; [var expr]+[const expr]=[const expr], negative; [var expr]+[const expr]=[const expr], all; Combine constants to right; Combine constants to left; a-x=b, positive; a/x+b=c, positive; a/x+b=c, negative}],45,,,,,,,,,,,,,,,,,,
1456,2oNLCndtam,Unit ES_05, Section ES_05-6,EG60,1,4y+1-1 = -8-1,40:45.0,40:48.0,40:48.0,41:22.0,37,37,,1,3,0,2,[SkillRule: Add/Subtract; [Typein Skill: {Isolate positive; Isolate negative; Remove constant; Consolidate vars, no coeff; Consolidate vars with coeff; Consolidate vars, any}]],9,,,,,,,,,,,,,,,,,,,,,,,,,,
1457,2oNLCndtam,Unit ES_05, Section ES_05-6,EG60,1,4y = -9,41:22.0,41:28.0,41:28.0,41:28.0,6,6,,1,0,0,1,[SkillRule: Remove positive coefficient; {ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b}]~~[SkillRule: Remove coefficient; {ax+b=c, divide; ax=b; [const expr]*[var fact] + [const expr] = [const expr], divide; [var expr]*[const expr] = [const expr], divide; a/b*x=c; a/b*x=c, reciprocal; ax/b=c, reciprocal; ax/b=c; x/a=b; ax=b; (+/-x +/-a)/b=c, mult; a=x*(b+c); a=x*(b-c); a=x*(b*c+d); x/a+b=c, multiply; [var expr]/[const expr] = [const expr], multiply}],41~~64,,,,,,,,,,,,,,,,,,,
1458,2oNLCndtam,Unit ES_05, Section ES_05-6,EG60,1,4y/4 = -9/4,41:28.0,41:30.0,41:30.0,41:52.0,24,24,,1,1,0,2,[SkillRule: Multiply/Divide; [Typein Skill: {Remove coefficient; Variable in denominator}]],11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
